Property,Type,Variations,Description,Token Count
Stress,Mechanical,"['Stress', 'Maximum Stress', 'Flow Stress', 'Fracture Stress', 'True Stress', 'von Mises Stress', 'Engineering Stress', 'Tensile Stress', 'Compressive Stress', 'Dynamic Yield Strength', 'Critical Stress', 'Peak Stress', 'Stress Intensity Factor', 'Threshold Stress', 'Threshold Stress Intensity Factor', 'Threshold Stress Intensity Factor Range', 'Threshold Stress Range', 'Stress Amplitude', 'Stress Exponent']","1. Explanation: Stress is the internal force exerted per unit area within materials in response to an externally applied force, which can lead to the deformation of the material.
2. Units: Pascals (Pa) or Newton per square meter (N/mÂ²).
3. Variations: Stress, Maximum Stress, Fracture Stress, True Stress, von Mises Stress, Engineering Stress, Tensile Stress, Compressive Stress, Critical Stress, Stress Intensity Factor, Stress Amplitude.",313
Fatigue,Mechanical,"['Fatigue', 'Fatigue Resistance', 'Fatigue Life', 'Fatigue Strength', 'Fatigue Limit', 'Fatigue Threshold', 'Fatigue Crack Growth', 'Cyclic Fatigue Resistance']","1. Explanation: Fatigue refers to the progressive and localized structural damage that occurs when a material is subjected to cyclic loading. When a material experiences repeated stress cycles, it may lead to the initiation and propagation of cracks, eventually causing failure after a certain number of cycles, even if the peak stress levels are lower than the material's ultimate tensile strength.
2. Units: Typically reported in cycles (number of cycles to failure).
3. Variations: Fatigue, Fatigue Resistance, Fatigue Life, Fatigue Strength, Fatigue Limit, Fatigue Threshold, Fatigue Crack Growth, Cyclic Fatigue Resistance.",286
Creep,Mechanical,"['Creep', 'Creep Resistance', 'Creep Strength', 'Creep Rate', 'Creep Stress', 'Creep Exponent', 'Steady-State Flow']","1. Explanation: Creep is the time-dependent, permanent deformation of a material under constant stress and high temperature. It occurs at a temperature above approximately 40% of the material's melting point, primarily in metals and polymers.
2. Units: Typically measured in units of strain (e.g., percent elongation or meters per meter, m/m).
3. Variations: Creep Resistance, Creep Strength, Creep Rate, Creep Stress, Creep Exponent, Steady-State Flow.",258
Friction,Mechanical,"['Friction Coefficient', 'Coefficient of Friction', 'Friction Resistance', 'Friction Stress', 'Friction Strength']","1. Explanation: Friction is the resistance to motion of two surfaces that are in contact with each other. It arises from the interactions between the surface irregularities and adhesive forces at the microscopic level.
2. Units: Dimensionless (often expressed as a ratio or a unit-less number).
3. Variations: Friction Coefficient, Coefficient of Friction.",221
Compression,Mechanical,"['Compression Strength', 'Compression Yield Strength', 'Compression Stress', 'Compression Fracture Strength', 'Compression Strain', 'Compression Ratio', 'Compression Rate', 'Compression performance']","1. Explanation: Compression refers to the capacity of a material to withstand loads that tend to reduce its size. It is a measure of how a material reacts to being compressed, typically analyzed by applying pressure to a material until it deforms or fractures. This property is crucial for materials used in structural applications where they might be subject to compressive forces.  
2. Units: Usually reported in Pascals (Pa) or its multiples such as megapascals (MPa) or gigapascals (GPa).  
3. Variations: Compression Strength, Compression Yield Strength, Compression Fracture Strength, Compression Strain.",283
Work Hardening,Mechanical,"['Work Hardening Rate', 'Work-Hardening Rate', 'Work-Hardening Capacity', 'Work Hardening Capacity', 'Work Hardening Rates', 'Work-Hardening Exponent']","1. Explanation: Work hardening, also known as strain hardening, is the process by which a ductile material becomes harder and stronger as it undergoes plastic deformation. This phenomenon occurs because dislocations in the material accumulate and become entangled, impeding further movement and increasing the material's strength.
2. Units: Typically, work hardening does not have a specific unit as a property; however, it is often discussed in terms of stress units like megapascals (MPa) or used in conjunction with a dimensionless exponent in a stress-strain context.
3. Variations: Work Hardening Rate, Work-Hardening Exponent",292
Residual Stress,Mechanical,"['Residual Stress', 'Residual Stresses', 'Internal Stress']","1. Explanation: Residual stress is the stress present within a material in the absence of any external forces or moments. These stresses arise due to inhomogeneous plastic deformation or phase transformations during the manufacturing process, such as welding, casting, or machining. They can influence the mechanical performance, fatigue life, and dimensional stability of materials.
2. Units: Pascals (Pa) or Megapascals (MPa).
3. Variations: Residual Stress, Residual Stresses, Internal Stress.",235
Poisson's Ratio,Mechanical,"[""Poisson's Ratio"", 'Poisson s Ratio']","1. Explanation: Poisson's Ratio is a measure of the elasticity of a material, specifically the ratio of transverse strain to axial strain when the material is stretched or compressed. It indicates how much a material expands or contracts perpendicular to the direction of applied force, and is dimensionless.
2. Units: Dimensionless (no units).
3. Variations: Poisson's Ratio",210
Brittleness,Mechanical,"['Brittleness', 'Brittleness Index']","1. Explanation: Brittleness is the property of a material that describes its tendency to fracture or break without significant deformation when subjected to stress. Materials that are brittle typically exhibit a lack of ductility and give little warning before breaking. It is often characterized by a sudden failure and is the opposite of toughness.
2. Units: Brittleness itself does not have a specific unit but is often assessed qualitatively or through related measures like fracture toughness.
3. Variations: Brittleness, Brittleness Index",231
Bonding Strength,Mechanical,"['Bonding Strength', 'Interfacial Bonding Strength', 'Adhesive Strength', 'Adhesion Strength']","1. Explanation: Bonding strength refers to the measure of the force required to break the bonds holding atoms, molecules, or phases together within a material. It indicates how well the material can withstand stress before failure occurs at the bond sites. 
2. Units: Pascals (Pa) or MegaPascals (MPa).
3. Variations: Bonding Strength, Interfacial Bonding Strength, Adhesive Strength, Adhesion Strength.",237
Yield Stress,Mechanical,"['Yield Stress', 'Yielding Strength', 'Yielding Strengths']","1. Explanation: Yield stress is the stress level at which a material begins to deform plastically, marking the end of elastic behavior where the material will no longer return to its original shape without permanent deformation. It is a critical property for determining the load that a material can withstand in structural applications.
2. Units: Pascals (Pa) or its multiples (e.g., megapascals, MPa).
3. Variations: Yield Stress, Yielding Strength.",229
Stiffness,Mechanical,"['Stiffness', 'Elastic Stiffness']","1. Explanation: Stiffness is the extent to which a material resists deformation in response to an applied force. It is a measure of the rigidity of the material and is defined as the ratio of the applied stress to the resulting strain in the elastic deformation region.
2. Units: Newton per meter (N/m) or Pascal (Pa) when referring to Young's modulus as a measure of stiffness.
3. Variations: Stiffness, Elastic Stiffness.",228
Specific Strength,Mechanical,"['Specific Strength', 'Specific Yield Strength', 'Specific Compressive Strength']","1. Explanation: Specific strength is a material property that describes the strength of a material per unit of density. It helps assess the efficiency of materials by considering both their load-bearing capabilities and weight, making it crucial for applications where lightweight materials with high strength are needed, such as in aerospace.
2. Units: The units are typically reported in newton-meters per kilogram (NÂ·m/kg) or Pascals per kilogram (Pa/kg).
3. Variations: Specific Strength",231
Fracture,Mechanical,"['Fracture', 'Fracture Stress', 'Fracture Strength', 'Fracture Toughness', 'Fracture Strain', 'Fracture Energy', 'Fracture Resistance', 'Fracture Elongation', 'Fracture Strains', 'Fracture Stress']","1. Explanation: Fracture refers to the separation or fragmentation of a material into two or more pieces under the action of stress. It generally occurs when the material's internal structure fails to support its integrity due to applied mechanical forces or impacts.
2. Units: Fracture itself is not quantified with units but described in terms of the conditions leading to separation.
3. Variations: Fracture Stress, Fracture Strength, Fracture Toughness, Fracture Strain, Fracture Energy, Fracture Resistance, Fracture Elongation.",302
Damping Capacity,Mechanical,"['Damping Capacity', 'Shock Strength']","1. Explanation: Damping Capacity is a material's ability to dissipate energy from mechanical vibrations or oscillations as heat, reducing noise and fatigue. This property is crucial for materials used in applications where vibration reduction is important. It is a measure of the material's ability to convert mechanical energy into heat.
2. Units: The units for damping capacity are typically percent (%) or decibels (dB).
3. Variations: Damping Capacity",220
Deformation Resistance,Mechanical,"['Deformation Resistance', 'Plastic Deformation Resistance']","1. Explanation: Deformation resistance refers to a material's ability to withstand changes in shape under applied forces without undergoing permanent deformation. It is closely related to the material's strength and modulus of elasticity, reflecting how much stress a material can endure before deforming. Higher deformation resistance indicates that a material can maintain its shape under heavier loads.
2. Units: Pascals (Pa) or megapascals (MPa), common for stress-related properties.
3. Variations: Plastic Deformation Resistance.",232
Strength-to-Weight Ratio,Mechanical,['Strength-to-Weight Ratio'],"1. Explanation: The strength-to-weight ratio is a measure of a material's strength in relation to its weight, indicating its ability to withstand loads without being heavy. It is crucial for applications where both strength and weight are critical, such as in aerospace and automotive industries. A higher strength-to-weight ratio suggests a material that provides more strength for less weight, making it more efficient.
2. Units: Often dimensionless, but can be expressed in units such as NÂ·m/kg or psi/lb/ftÂ³ depending on the context.
3. Variations: -",244
Damage Resistance,Mechanical,['Damage Resistance'],"1. Explanation: Damage resistance refers to a material's ability to withstand mechanical harm under applied forces or impacts without significant degradation or failure. It encompasses the material's robustness in terms of resisting scratches, dents, or structural compromise.
2. Units: There are no standard units for damage resistance; it is often assessed qualitatively or through related properties like toughness or hardness.
3. Variations: Damage Resistance",204
Hall-Petch Coefficient,Mechanical,['Hall-Petch Coefficient'],"1. Explanation: The Hall-Petch Coefficient is a material property that quantifies the strengthening effect of decreasing grain size on the yield stress of polycrystalline materials. It shows how materials become stronger and harder as the grain size decreases, contributing to the Hall-Petch relationship, which connects yield strength with grain size. This relationship typically applies to metals and alloys.
2. Units: Megapascals per square root of meter (MPaÂ·m^0.5).
3. Variations: Hall-Petch Coefficient.",237
Pugh's Ratio,Mechanical,['Pugh s ratio'],"1. Explanation: Pughâs Ratio is a measure of the ductility or brittleness of a material, defined as the ratio of the shear modulus to the bulk modulus. Higher values of Pugh's Ratio often suggest brittle behavior, while lower values indicate ductile characteristics.
2. Units: Dimensionless.
3. Variations: -",196
Dislocation Density,Mechanical,['Dislocation Density'],"1. Explanation: Dislocation density refers to the total length of dislocation lines per unit volume within a crystalline material. It is an important parameter that affects the mechanical strength, ductility, and hardness of metals and alloys.
2. Units: The units are typically reported in meters per cubic meter (m/mÂ³) or as a number per square meter (mâ»Â²).
3. Variations: Dislocation Density",211
Solid-Solution Strength,Mechanical,['Solid-Solution Strength'],"1. Explanation: Solid-solution strength refers to the enhancement of a material's mechanical strength through the addition of solute atoms into the host lattice, which causes lattice distortions and impedes dislocation motion. This mechanism is critical in alloy design, where the solute atoms occupy interstitial or substitutional positions in the crystal lattice, providing resistance to deformation.
2. Units: Pascals (Pa) or Megapascals (MPa) for yield strength or tensile strength impacts.
3. Variations: Solid-Solution Strengthening",236
Indentation Hardness,Mechanical,['Nanoindentation Hardness'],"1. Explanation: Indentation hardness measures a material's resistance to permanent surface deformation under localized compressive loading, typically using an indenter to create an impression. It provides insights into a material's strength and ductility. Various testing methods such as Vickers, Brinell, and Rockwell are used to determine this property.  
2. Units: The units are typically in terms of load per unit area, such as kilograms-force per square millimeter (kgf/mmÂ²) or gigapascals (GPa).  
3. Variations: Nanoindentation Hardness.",247
Internal Friction,Mechanical,['Internal Friction'],"1. Explanation: Internal Friction is a measure of the energy dissipation or damping that occurs within a material when it is subjected to cyclic stress or deformation. It reflects how a material converts mechanical energy into heat due to microstructural defects like dislocations and grain boundaries. This property influences the material's ability to withstand vibrations and mechanical fatigue.
2. Units: No specific units, but it is often expressed as a dimensionless damping factor or damping ratio.
3. Variations: Internal Friction",226
Twinning Stress,Mechanical,"['Twinning Stress', 'Critical Twinning Stress']","1. Explanation: Twinning stress is the stress level at which a material undergoes deformation through the formation of twins, a type of stacking fault that accommodates strain by reorienting the crystal lattice without significant atomic diffusion. This stress is critical in materials where twinning is a dominant deformation mechanism, especially at low temperatures.
2. Units: Pascals (Pa) or megapascals (MPa).
3. Variations: Twinning Stress, Critical Twinning Stress.",227
Cleavage Fracture,Mechanical,['Cleavage Fracture'],"1. Explanation: Cleavage fracture is a type of brittle fracture that occurs along specific crystallographic planes of a material when it is subjected to stress. This fracture mode involves little to no plastic deformation as the atomic bonds break across the cleavage planes. It is typically observed in materials with a strong directional bonding, such as certain metals and minerals.  
2. Units: Cleavage fracture does not have specific units as it is a descriptive mode of fracture, but it is often quantified by measuring critical stress intensity or energy release rate in units of MPaâm or J/mÂ², respectively.  
3. Variations: -",255
Rupture Strain,Mechanical,['Rupture Strain'],"1. Explanation: Rupture strain is the measure of the strain a material undergoes before it fractures or breaks when subjected to stress. It is an important indicator of the ductility of a material, reflecting its capacity to deform plastically before failure. Rupture strain is typically determined during a tensile test.
2. Units: Typically expressed as a percentage (%).
3. Variations: Rupture Strain",214
Dislocation Motion,Mechanical,['Dislocation Motion'],"1. Explanation: Dislocation motion refers to the movement of dislocations within a crystal lattice, which is a primary mechanism by which metals plastically deform. It plays a critical role in determining the ductility, strength, and hardness of materials. This motion allows crystals to accommodate permanent changes in shape without fracturing.
2. Units: Dislocation motion itself does not have specific units, but its rate can be quantified by velocity, typically in meters per second (m/s).
3. Variations: Dislocation Motion",229
Void Growth,Mechanical,['Void Growth'],"1. Explanation: Void growth in materials refers to the increase in size of voids (microscopic empty spaces) within a material under stress, which can eventually lead to material failure. It is a critical aspect of damage mechanics and fracture behavior in metals and alloys. Understanding void growth helps in predicting the ductility and toughness of materials under mechanical loading.
2. Units: Typically measured in terms of length (micrometers or millimeters) or volume change (cubic micrometers or cubic millimeters).
3. Variations: Void Nucleation, Void Coalescence.",241
Cohesive Strength,Mechanical,['Cohesive Strength'],"1. Explanation: Cohesive strength refers to the internal forces that hold a material together, resisting separation under stress. It is a measure of how strongly the particles or molecules of a material are bonded. This property is crucial in determining the mechanical integrity of the material under tensile loads.
2. Units: Pascals (Pa) or Megapascals (MPa).
3. Variations: -",211
Engineering Strain,Mechanical,['Engineering Strain'],"1. Explanation: Engineering strain is a measure of deformation representing the displacement between particles in a material body. It is calculated as the change in length divided by the original length of the material when subjected to stress.
2. Units: Unitless or often expressed as a percentage (%).
3. Variations: Engineering Strain",190
Spall Strength,Mechanical,['Spall Strength'],"1. Explanation: Spall strength refers to the resistance of a material to failure or fracture under high-velocity impact or stress, particularly in the form of tensile fragmentation. It is a critical property for materials subjected to sudden, extreme loads such as shockwaves.
2. Units: The units for spall strength are typically Pascals (Pa) or Megapascals (MPa).
3. Variations: -",210
Cutting Force,Mechanical,['Cutting Force'],"1. Explanation: Cutting force is the force required to cut through a material using a specific cutting tool. It is critical in understanding how much energy is needed in machining processes and affects tool wear and product finish. Cutting force can be broken down into components such as tangential, radial, and axial forces in a cutting operation.
2. Units: Newtons (N) or Pounds-force (lbf).
3. Variations: -",213
Energy Absorption Capacity,Mechanical,['Energy Absorption Capacity'],"1. Explanation: Energy absorption capacity refers to the ability of a material to absorb energy when it is deformed under load, often tested during impact or dynamic loading. It reflects the toughness of the material and is critical in applications where shock absorption is crucial, such as in automotive crash structures or protective gear. This property indicates how much energy a material can absorb before failure.
2. Units: Joules (J) or sometimes Joules per cubic meter (J/mÂ³).
3. Variations: Energy Absorption Capacity.",233
Compression Performance,Mechanical,['Compression Performance'],"1. Explanation: Compression performance measures a material's ability to withstand loads that tend to reduce its size. This property is crucial for applications requiring structural stability under compressive forces.
2. Units: Pascals (Pa), often reported in megapascals (MPa) or gigapascals (GPa).
3. Variations: Compression Strength, Compression Modulus, Compressive Yield Strength.",204
Intrinsic Strength,Mechanical,['Intrinsic Strength'],"1. Explanation: Intrinsic strength refers to the theoretical maximum stress a material can withstand without any defects influencing the measurement. It's a fundamental property that represents the idealized strength of a perfect, defect-free material. This value is often higher than the actual strength observed in practical applications due to the presence of imperfections.  
2. Units: Pascals (Pa) or other units of pressure such as megapascals (MPa) or gigapascals (GPa).  
3. Variations: -",226
Thermal Conductivity,Thermal,"['Thermal Conductivity', 'Thermal conductivity', 'High Thermal Conductivity', 'Lattice Thermal Conductivity', 'Carrier Thermal Conductivity']","1. Explanation: Thermal conductivity is a measure of a material's ability to conduct heat. It quantifies the rate at which heat is transferred through a material of a given thickness and is dependent on the material's structure and composition.
2. Units: The units for thermal conductivity are watts per meter-kelvin (W/mÂ·K).
3. Variations: Thermal Conductivity, Lattice Thermal Conductivity, Carrier Thermal Conductivity.",240
Curie Temperature,Thermal,"['Curie Temperature', 'Curie Temperatures']","1. Explanation: Curie Temperature is the temperature above which a ferromagnetic or ferrimagnetic material loses its permanent magnetism and becomes paramagnetic. Above this temperature, the thermal energy overcomes the magnetic ordering, causing the magnetic domains to become randomly oriented. It is a critical point that marks the transition from ordered to disordered magnetic states.
2. Units: Kelvin (K) or degrees Celsius (Â°C)
3. Variations: Curie Temperature, Curie Temperatures",230
Seebeck Coefficient,Thermal,"['Seebeck Coefficient', 'Thermopower']","1. Explanation: The Seebeck Coefficient measures the magnitude of an induced thermoelectric voltage in response to a temperature difference across a material. It indicates how well a material can convert thermal energy into electrical energy. A high Seebeck Coefficient is desirable for efficient thermoelectric materials.
2. Units: Volts per Kelvin (V/K).
3. Variations: Thermopower.",217
Heat Capacity,Thermal,"['Heat Capacity', 'Specific Heat', 'Specific Heat Capacity', 'Volumetric Heat Capacity', 'Low Temperature Specific Heat']","1. Explanation: Heat capacity is a measure of the amount of heat energy required to raise the temperature of a given quantity of a material by one degree Celsius. It is an extensive property, meaning it depends on the mass of the material.
2. Units: Joules per Kelvin (J/K).
3. Variations: Heat Capacity, Specific Heat Capacity, Volumetric Heat Capacity.",224
Thermal Diffusivity,Thermal,"['Thermal Diffusivity', 'Thermal diffusion coefficient', 'Thermal Diffusion Coefficient']","1. Explanation: Thermal diffusivity is a measure of how quickly heat can spread through a material. It is defined as the ratio of thermal conductivity to the product of density and specific heat capacity. This property indicates the material's ability to conduct thermal energy relative to its ability to store it.
2. Units: Square meters per second (mÂ²/s).
3. Variations: Thermal Diffusivity.",225
Melting Point,Thermal,"['Melting Point', 'Melting Temperature', 'Melting temperature']","1. Explanation: Melting point is the temperature at which a solid becomes a liquid at atmospheric pressure, marking the transition from the crystalline phase to the liquid phase. It reflects the thermal stability and bonding strength between atoms or molecules in a solid. The melting point can indicate purity, as impurities typically lower the melting point of a substance.  
2. Units: Degrees Celsius (Â°C) or Kelvin (K).  
3. Variations: Melting Point, Melting Temperature.",233
Thermal Expansion Coefficient,Thermal,"['Thermal Expansion Coefficient', 'Coefficient of Thermal Expansion', 'Thermal Expansion Coefficients', 'Linear Thermal Expansivity', 'TEC', 'CTE', 'Temperature Coefficient of Resistance', 'Temperature Coefficients of Expansion', 'Coefficients of Thermal Expansion']","1. Explanation: The Thermal Expansion Coefficient quantifies how much a material's size changes with temperature, typically causing expansion with heat and contraction when cooled. It is fundamental in predicting behavior as materials undergo temperature fluctuations. This property helps in designing components that must fit together precisely under varying thermal conditions.
2. Units: Typically expressed in per degree Celsius (Â°Câ»Â¹) or per Kelvin (Kâ»Â¹).
3. Variations: Thermal Expansion Coefficient, Coefficient of Thermal Expansion, Linear Thermal Expansivity, CTE.",290
Thermal Expansion,Thermal,"['Thermal Expansion', 'Volumetric Thermal Expansion']","1. Explanation: Thermal expansion is the tendency of a material to change in length, area, or volume in response to a change in temperature. As the temperature increases, the atoms vibrate more and occupy more space, usually causing expansion.
2. Units: The coefficient of linear thermal expansion is typically expressed in per degree Celsius (1/Â°C) or per degree Kelvin (1/K).
3. Variations: Thermal Expansion, Volumetric Thermal Expansion.",226
Relative Cooling Power,Thermal,"['Relative Cooling Power', 'Cooling Power']","1. Explanation: Relative Cooling Power (RCP) quantifies a material's efficiency in cooling through the magnetocaloric effect by measuring the energy transferred between a heat source and sink. It accounts for both the entropy change and the temperature range over which cooling occurs.
2. Units: Joules per kilogram (J/kg).
3. Variations: -",201
Ductile Brittle Transition Temperature,Thermal,['Ductile Brittle Transition Temperature'],"1. Explanation: Ductile Brittle Transition Temperature (DBTT) is the temperature below which a material transitions from ductile fracture behavior to brittle fracture behavior when subjected to stress. In the ductile phase, materials deform plastically, while in the brittle phase, they fracture suddenly without significant deformation. DBTT is particularly relevant for materials like metals and polymers, which can exhibit different mechanical properties depending on temperature.  
2. Units: Degrees Celsius (Â°C) or Kelvin (K).  
3. Variations: Ductile Brittle Transition Temperature.",247
Adiabatic Temperature Change,Thermal,"['Adiabatic Temperature Change', 'Adiabatic Temperature Variation', 'Adiabatic Temperature Rise']","1. Explanation: Adiabatic Temperature Change refers to the temperature change in a material that occurs without any heat exchange with the surroundings, often observed during magnetocaloric or electrocaloric processes. It is governed by the material's inherent properties under specific external influences like magnetic or electric fields.
2. Units: Kelvin (K) or degrees Celsius (Â°C).
3. Variations: Adiabatic Temperature Change, Adiabatic Temperature Rise.",234
Characteristic Temperatures,Thermal,['Characteristic Temperatures'],"1. Explanation: Characteristic temperatures in materials science refer to specific temperatures at which a material undergoes significant changes in its properties, such as phase transitions, structural transformations, or thermal stability limits. These temperatures are crucial for understanding the material's behavior under different thermal conditions. They help in determining operational and processing conditions.
2. Units: Kelvin (K) or degrees Celsius (Â°C).
3. Variations: Melting point, glass transition temperature, Curie temperature.",221
Crystallization Temperature,Thermal,['Crystallization Temperature'],"1. Explanation: Crystallization temperature is the temperature at which a material, typically a polymer or certain types of glasses, transforms from a disordered amorphous phase to an ordered crystalline phase during cooling. This property is crucial for understanding the thermal behavior and stability of materials. 
2. Units: Degrees Celsius (Â°C) or Kelvin (K).
3. Variations: Crystallization Temperature.",210
Glass Transition Temperature,Thermal,['Glass Transition Temperature'],"1. Explanation: Glass transition temperature is the temperature range over which a polymer transforms from a hard, glassy material to a soft, rubbery state. This transition is due to increased molecular mobility and is crucial for determining polymer applications.
2. Units: Degrees Celsius (Â°C) or Kelvin (K).
3. Variations: Glass Transition Temperature.",197
