,Properties,frequency
2608,Magnetic Property,139
760,Residual Stress,139
1230,Thermal Properties,138
594,Adiabatic Temperature Change,136
428,Specific Heat Capacity,135
2134,Hardening Rate,134
383,Magnetic entropy change,132
543,Lattice Parameter,132
1321,Catalytic activity,132
342,Grain size,131
356,Strength-Ductility Synergy,130
46,Twinning,130
138,Tribological Properties,130
74,Lattice Thermal Conductivity,128
3411,Anisotropic Behavior,128
539,Corrosion behavior,128
168,Radiation Resistance,127
878,Coefficient of Thermal Expansion,126
16,Compressive Plasticity,126
745, ,125
4307,Specific strength,125
418,Weldability,124
698,Wear Properties,124
1759,High Strength,123
658,Electronegativity Difference,123
1003,Saturation magnetization,122
412,Discharge Capacity,122
1001,Electrical resistivity,121
439,Compressive strength,120
5804,MA,120
475,Compressive Strain,119
657,Atomic Size Mismatch,118
554,Sluggish Diffusion,118
955,Sound Velocity,118
352,Softening Resistance,118
141,Amorphous,117
1143,Dynamic Recrystallization,117
3653,Carrier Concentration,116
1099,Fracture,115
1008,Microstructural Stability,114
1243,Thermal diffusivity,114
897,Melting Temperature,113
110,Crystallinity,113
530,Fracture Elongation,111
132,Capacity,110
495,Tensile Elongation,109
234,Oxidation Behavior,109
726,Magnetoresistance,109
706,Work Hardening Rate,109
287,Martensitic Transformation,108
339,Activation Volume,108
61,Electrical conductivity,108
553,Wettability,108
355,Total Elongation,108
49,UTS,108
231,Tensile strength,108
2363,Surface Area,107
4305,Ductile brittle transition temperature,106
936,Current Density,106
209,Diffusion,106
1551,Thermodynamic Properties,105
559,Elastic Properties,105
3418,High temperature softening,104
62,Seebeck coefficient,103
202,Phase Composition,103
2428,Soft Magnetic Behavior,103
396,Thermodynamic Stability,100
117,Crystallite Size,100
708,Oxidation resistance,100
427,Transition Temperature,97
1113,High Temperature Properties,97
1831,Softening,97
13,Young s modulus,97
2146,Fabricability,97
493,Deformation Mechanism,97
1336,Structural,97
1056,Magnetic Moment,96
307,Kinetics,96
1585,Compression Strength,96
1213,Embrittlement,96
408,Crystallization Temperature,96
448,Mass Activity,96
1464,Figure of Merit,95
293,Deformability,95
2218,Coarsening Resistance,95
944,High-temperature strength,94
375,Passivation,93
333,Thermal Hysteresis,93
593,Lattice Constant,93
2752,Pitting Corrosion Resistance,93
373,Nanoindentation,92
525,Mechanical,92
419,Deformation Twinning,91
59,Phases,91
899,Fatigue Strength,91
470,Magnetic Susceptibility,90
353,Impact Toughness,90
763,CRSS,90
4867,Critical Diameter,89
494,Stacking Faults,89
1299,Bending Strength,89
298,Recrystallization,88
2834,Mobility,88
544,Lattice Strain,88
960,Elastic constants,87
1388,Soft Magnetic Properties,87
410,Adhesion Strength,87
2461,Carrier Mobility,87
156,Grain Boundary Strengthening,87
4764,Fatigue resistance,83
716,Hydrogen Absorption,82
510,Deformation,81
810,Formability,81
1167,Lattice Parameters,81
391,COF,81
4819,ORR Activity,80
652,Dislocation,80
1513,Solid solution strengthening,80
175,Mixing entropy,80
683,Mechanical Stability,80
1338,Cycling Stability,79
328,Valence electron concentration,79
3044,Thermoelectric,79
227,Fracture strength,79
1025,Damping Capacity,79
228,Plastic strain,79
558,Strain Hardening Rate,78
609,Compressive properties,78
380,Magnetocaloric effect,78
573,Tensile,78
864,Precipitation Hardening,78
422,Fracture strain,78
413,Capacity Retention,77
1474,Dual Phase Structure,77
2092,Elastic Anisotropy,77
1932,Chemical Inhomogeneity,77
3279,High strength,75
4008,zT,75
388,Magnetic Transition,75
286,Vickers micro-hardness,74
14,Poisson s ratio,74
1072,Electrochemical properties,73
608,Tensile properties,73
134,Resistance,73
5805,SA,73
407,Glass Transition Temperature,73
1580,Wear properties,73
1011,Friction coefficient,72
3412,Low ductility,72
873,Precipitates,72
1673,Paramagnetic,72
886,Corrosion Behavior,72
280,Tensile Yield Stress,72
3697,Mechanical Property,72
818,Superelasticity,71
1019,Relative cooling power,71
791,Solid Solution,71
3470,Strain to Failure,71
1150,Scale Spallation,70
370,Microstructures,70
124,Hydrogen storage capacity,70
3792,Compressive Stress,70
3415,Better oxidation resistance,70
69,Lattice constant,70
3414,Brittle tensile behavior,70
114,Dislocations,70
451,Fatigue Life,70
300,Homogeneity,69
440,Wear Behavior,69
343,Composition,69
1767,Specific Yield Strength,69
1062,Hydrogen absorption,69
3413,Poor resistance to oxidation,69
1558,Total Strain,69
1106,OER Activity,68
1950,Cyclic Stability,67
677,Wear rates,66
731,Magnetism,65
1283,Damage Tolerance,65
3421,Hot Cracking,65
1210,Tensile Ductility,65
568,Work-hardening,65
246,Wear Performance,65
1346,Swelling,64
715,Bonding Strength,64
205,Deformation Mechanisms,64
485,Phase Separation,64
326,Mixing enthalpy,64
346,Machinability,64
1202,FCC Phase,64
513, -phase,64
649,Atomic size mismatch,64
2509,Compactness,63
3226,Recyclability,63
1630,Nanotwins,63
2385,Crystal structure,63
399,Debye Temperature,63
1517,Magnetocaloric properties,62
934,Crystallization,62
2280,Antibacterial,61
555,Adhesion,61
1583,Thermal properties,61
851,Ductile,61
1537,ORR,61
813,Deformation Twins,60
1593,Corrosion Properties,60
118,Particle Size,60
4029,Active Sites,60
1646,Specific heat,59
157,Dislocation Strengthening,59
617,Roughness,59
625,Coefficient of friction,58
1828,Friction Resistance,58
1642,Solid-solution Strengthening,58
2107,Work-Hardening Rate,58
687,Segregation,58
551,High-Temperature Stability,57
679,Coercive Force,57
499,Friction Stress,57
170,Configurational Entropy,57
845,Cycling Performance,57
1396,Temperature,57
596,Magnetocaloric Properties,57
3064,Irradiation Hardness,56
79,Corrosion potential,56
850,Brittle,56
714,Tensile Yield Strength,56
821,Diffusivity,56
3529,Nano Hardness,56
312,Passivity,56
3068,Irradiation Hardening,56
1490,Glass Forming Ability,55
12,Compression,55
839,MCE,55
411,Reduced Modulus,55
3970,Bending Ductility,55
917,Electrochemical Reversibility,55
4928,Passivation Ability,55
2878,Hydrogen Capacity,55
3496,Tafel slope,55
1559,Radiation Tolerance,55
120,Compression tests,55
4866,Thermodynamics Parameters,55
852,Strengthening Mechanisms,54
491,Thermal Softening,54
1928,Erosion Resistance,54
3592,HER activity,54
303,Cracking,53
215,Amorphization,53
566,Surface Energy,53
787,Poisson s Ratio,53
331,Magnetostructural Transition,53
288,Hydrogen Embrittlement,53
3208,Thermal resistance,53
1871,Cohesive Energy,52
262,Brittle Fracture,52
1333,Glass-forming Ability,52
299,Precipitation,52
3409,Capacitance,52
1245,Specific heat capacity,52
5817,MOR,52
382,Refrigerant capacity,52
971,Band Gap,52
131,Hydrogen storage,52
409,Liquidus Temperature,52
2999,Magnetic Behavior,51
1021,Lattice parameters,51
814,Indentation Modulus,51
490,Strain-Rate Sensitivity,51
218,Cold Deformability,51
278,Chemical Composition,51
792,Lattice Constants,50
3537,Hot Tearing,50
861,Lattice Friction Stress,50
1424,Contamination,50
489,Strain-Hardening,49
464,Strain Hardening Capacity,49
1159,High-Temperature Strength,49
479,Magnetocaloric Effects,49
2656,Vibrational Entropy,49
883,Coefficient of thermal expansion,48
129,Thermostability,48
140,Tribological properties,48
1779,Permittivity,48
376,Wear resistances,48
2145,Creep Strength,47
915,Charge Transfer Impedance,47
5609,High Temperature Resistance,47
5808,Ligament Size,47
5811,CO Tolerance,47
2269,Poisson ratio,47
2236,Magnetic Hysteresis,46
4140,Magnetic moments,46
1040,BCC phase,46
4664,Flexibility,46
187,Densification,46
916,Exchange Current Density,46
990,Critical Resolved Shear Stress,46
633,Passive Film,46
266,Wear Loss,45
509,Shear Strain,45
2042,Rate Performance,45
2462,ZT,45
967,Surface Morphology,45
87,Laves phase,45
665,FCC phase,45
17,Saturated Magnetization,45
472,Ultimate tensile strength,44
327,Electronegativity difference,44
40,Stress,44
3494,TOF,44
274,Single-phase,44
1906,  Phase,44
5810,MOR Activity,44
779,Hc,44
1027,Energy Density,44
2854,Tg,43
2012,Corrosion Potential,43
2424,Hydrogen Absorption Kinetics,43
951,Compressive Ductility,43
2893,Irradiation Tolerance,43
1018,Entropy change,43
1211,Tribological,43
80,Corrosion current density,43
197,B2,43
5806,Electrocatalytic Activities,43
927,Performance,43
2073,Plastic Deformability,43
2132,Magnetostriction,43
764,Strengthening Effect,43
1420,Oxidation Rate,42
371,Amorphous Structure,42
351,Ultimate Compressive Strength,42
1751,Magnetic Phase Transition,42
3746,BCC Phase,42
296,Wear behavior,42
1094,Susceptibility,42
1227,Wear Rates,42
269,Phase composition,42
6597,Reflection loss,41
965,Crack Propagation,41
1162,Melting point,41
1115,Heat Resistance,41
588,Wetting,41
243,Processability,41
2463,Carrier concentration,41
793,Compression Plasticity,41
952,Spall Strength,41
1371,Residual Stresses,40
2696,Hall Coefficient,40
484,Crystalline Structure,40
314,Corrosion Rate,40
7195,DOS Effective Mass,40
3114,Turnover Frequency,40
1542,High-temperature Strength,40
819,Shape Memory Effect,39
830,Corrosion properties,39
1,Lattice parameter,39
3103,Softness,39
3075,Irradiation Hardening Resistance,39
1543,Corrosion behaviors,39
1064,Kinetic Properties,39
3789,Strain Hardening Coefficient,39
1737,Viscosity,39
1270,Defects,38
2270,Non-magnetic,38
5167,Phase structures,38
4311,Interstitial Contamination,38
1538,OER,38
3206,Shape Memory,38
781,Remanence,38
320,Compressive Mechanical Properties,38
4787,Thermal expansion coefficients,38
769,Tribological Performance,38
705,Ultimate Tensile Stress,38
747,HCP,38
1174,Transformation Temperatures,38
3404,Dehydrogenation Enthalpy,38
1334,Fracture Resistance,37
7649,Static magnetism,37
3977,Magnetic Softness,37
3180,Thermal,37
1421,Solubility,37
1527,Power Density,37
1024,Critical Exponents,37
809,Elongation to Failure,37
270,Surface roughness,36
1766,Laves Phase,36
2141,Indentation Hardness,36
468,Temperature Change,36
2529,Ferromagnetism,36
1742,Creep Exponent,36
1800,Slip,36
857,Radiation resistance,36
277,Phase Transitions,36
1229,Workability,36
3067,Resistance to irradiation hardening,36
1238,Impact Energy,35
5807,CO Poisoning Tolerance,35
5752,Adiabatic Bulk Modulus,35
1109,Vickers Microhardness,35
5753,Volumetric Thermal Expansion,35
734,Crack Resistance,35
943,Compressive yield strength,35
1140,Grain refinement,35
1231,Yield,35
5365, H,35
875,Strain Hardening Ability,35
1251,Electrochemical Properties,35
681,Hydrophobicity,35
773,Absorption,35
517,fcc,35
496,Solid-Solution Strengthening,35
3969,Elastic Elongation,35
2762,Poisson Ratio,35
461,Serration Behavior,35
268,Nano-Hardness,35
2856,Tm,35
1035,Glass-forming ability,35
178,Reversible Capacity,35
3297,Martensitic Transformation Temperature,34
341,Solid Solution Hardening,34
888,Phase Structure,34
233,Tensile tests,34
1665,Corrosion Performance,34
1430,Nanoindentation Hardness,34
5749,Low Sensitivity to Temperature,34
738,Saturated magnetization,34
385,Antiferromagnetic,34
467,Cooling Power,34
780,Ms,34
1344,Grain Boundaries,34
5775,Work Function,34
1628,Spallation,34
2377,HER,34
721,Hydrogen Storage Performance,33
481,Carbides,33
1147,bcc,33
1963,Elemental Segregation,33
2196,Thermal expansion coefficient,33
750,Lubricity,33
682,Martensitic Transition,33
871,Reduced Elastic Modulus,33
1114,Lattice Stability,33
5754,Non-uniformity,33
4308,Environmental Resistance,33
1664,Shear Bands,33
836,Intermetallic,33
325,Atomic size difference,33
5385,Magnetisation,33
5751,Adiabatic bulk modulus,33
1952,Elastocaloric Effect,33
3971,Low Coercivity,33
174,VEC,33
5750,Gr neisen coefficient,33
1426,Strain Hardening Exponent,33
1925,Mechanical Performance,33
7951,Cyclic Fatigue Resistance,32
585,Cavitation Erosion Resistance,32
3071,Irradiation Damage,32
1801,Slip-Transfer Resistance,32
1247,Sluggish diffusion,32
453,Chemical composition,32
1212,Strain Rate,32
4871,Breakdown Potential,32
920,Electrochemical performance,32
1416,FCC Structure,32
1546,Volume Fraction,32
2885,Oxygen Vacancies,32
43,Deformation Behavior,32
1855,Reflection Loss,32
211,Crystal Structures,32
1253,Unit Cell Volume,32
767,Melting,32
261,Ductile Fracture,32
2380,Thermal Behavior,32
1520,Transport,32
2724,Chemical Disorder,32
1523,Chemical Stability,31
1528,Cycle Stability,31
3972,High Initial Permeability,31
2155, S,31
2147,Compressive Fracture Strength,31
1116,High-temperature Mechanical Properties,31
996,Reversibility,31
885,Phase structure,31
3973,Higher Permeability,31
5814,Poisoning Resistance,31
20,Magnetic Entropy Changes,31
1288,Corrosion Current Density,31
3976,Antenna Sensitivity,31
8123,High-temperature performance,31
1192,Disorder,31
3975,Conversion Ratio,31
2857,Tl,31
1082,Thermal Expansion Coefficients,31
1010,Working Temperature Range,31
2668,Soft magnetic properties,31
3974,Lower Core Losses,31
2855,Tx,31
2131,Toughening,31
4313,Interstitial Content,30
5818,Structure Stability,30
4316,Scale Formation,30
2506,  phase,30
752,Solid solution,30
449,Dislocation Slip,30
4458,Microstructure Stability,30
3881,Electrical properties,30
626,Wear volume,30
425,YS,30
3594,HER Activity,30
258,High-temperature Oxidation Resistance,30
2394,Fatigue Properties,30
811,Electronic,30
2020,Electrochemically Active Surface Area,29
2419,Elastic Recovery,29
632,Wear Mechanism,29
1160,Crystallite size,29
5809,Pore Size,29
743, Hmix,29
201,Sigma Phase,29
741,Chemical Homogeneity,29
527,Compression Properties,29
3696,Specific Capacity,29
826,Hydrogen,29
1706,Shear Stress,29
1709,Dislocation Loops,29
1408,Optical Properties,29
1110,Bending Plasticity,29
5307,Fracture mechanism,29
405,Glass-Forming Ability,28
762,Corrosion performance,28
914,Capacity Retention Rate,28
332,Isothermal Entropy Change,28
5815,ECSA Loss,28
2744,Compressibility,28
879,Thermodynamic stability,28
1803,Grain Boundary Cavitation,28
4650,Dielectric constant,28
2290,Yielding Strength,28
1079,Phase Transformations,28
2737,Reflectivity,28
322,Compression properties,28
545,Phase Decomposition,28
500,Diffusion Rates,28
1830,Wear performance,28
751,Lattice distortion,28
248,Thermodynamic properties,28
149,Vacancy Formation Energy,28
6208,Resistance to Co Poisoning,28
1846,Antibacterial Properties,28
4788, -particles,28
832,Fine Grain Strengthening,28
3416,Specific Compressive Strength,27
2457,Void Swelling,27
3861,Eddy current loss,27
457,Corrosion rate,27
674,Hydrogen Embrittlement Resistance,27
1042,Engineering Strain,27
196,Phase Formation,27
1892,Microstructural Evolution,27
42,Displacement,27
1873,Mechanical Behavior,27
45,Dislocation Mobility,27
636,Dislocation Nucleation,27
1123,Mechanical Characteristics,27
2883,Ionic Conductivity,27
962,Pitting potential,27
2598,Superplasticity,27
2984,Electrocatalytic activity,27
2471,Elasticity Modulus,27
5717,Grain Boundary Energy,27
1496,Irradiation resistance,26
597,Gibbs Free Energy,26
177,Hydrogen Absorption Capacity,26
1939,Pitting Corrosion,26
2032,Selectivity,26
406,Supercooled Liquid Region,26
1193,Hydrogenation,26
2048,Lattice,26
3844,Atomic Size Difference,26
786,Cauchy Pressure,26
2700,Elemental Distribution,26
1282,Ultimate Shear Strength,26
946,Irradiation hardening,26
1661,Tensile Testing,26
1856,Bandwidth,26
1681,Phase stability,26
4158,Activation Performance,26
180,Cell Volume,26
2164,Micro Hardness,26
5830,Poison Tolerance,26
1337,Phase Transition Temperature,25
2477,Nano-indentation,25
5933,Electron Density,25
2560,Hydrophilicity,25
2254,Magnetic Transition Temperature,25
2009,Work Hardening Ability,25
473,Tensile Strain,25
193,Metastability,25
1976,High temperature strength,25
47,Scratch Resistance,25
695,Hydrogen capacity,25
1981,Electron-phonon coupling,25
1295,Cell Viability,25
1301,Transformation Temperature,25
547,HE Resistance,25
3392,Tensile test,25
933,Uniformity,25
2317,RCP,25
1284,Elongation to fracture,25
223,Hot hardness,25
1983,Strengthening mechanism,25
3425,Pitting-Corrosion Resistance,25
1781,Thickness,25
511,Strain-rate Sensitivity,24
482,Oxides,24
2731,Strain hardening,24
1765,Compressive strain,24
1335,Shear Deformation,24
2208,Compression Yield Strength,24
4310,Creep Rates,24
4846,Grain Size Distribution,24
2232,Chemical compositions,24
2021,OER Performance,24
2231,Phase constituents,24
768,Fracture Energy,24
2322,Heterogeneity,24
862,Dislocation Hardening,24
3189,Structural Transformation,24
1292,Isothermal magnetic entropy change,24
660,Castability,24
872,Damping,24
232,Compression strength,23
640,Hot Corrosion Resistance,23
1477,UE,23
1470,Solid Solution Phase,23
1354,Solidus Temperature,23
2091,Specific Surface Area,23
5956,Weight Loss Rate,23
22,Magnetocaloric Response,23
1710,Work-hardening Rate,23
1797,Twinning Stress,23
7194,Electrical Transport Properties,23
1151,Amorphous Phase,23
125,Phase transition,23
1568,Corrosion parameters,23
1161,Lattice strain,23
1149,Electrical Resistance,23
7950,Elinvar,23
7949,Invar,23
1197,Passive Film Stability,23
7948,Aging Resistance,23
3894,Reaction Kinetics,23
1374,Phase Evolution,23
204,Elongation to Fracture,23
1722,Fracture Mode,23
1022,Unit cell volume,23
275,Dual-phase,22
5203,Ultimate strength,22
36,Modulus of Elasticity,22
1395,Abrasive Wear,22
1592,Critical Current Density,22
629,Martensite,22
2174,Solid-solution strengthening,22
5832,Electrochemical Cycling Durability,22
5833,Discharge Potential,22
454,Compression test,22
2904,Isothermal Magnetic Entropy Change,22
3386,Strain-Hardening Rate,22
1680,Electronic Properties,22
358,Diffusion Coefficient,22
1100,Fracture Mechanism,22
1823,Mechanical Anisotropy,22
1862,Transverse Rupture Strength,22
1444,Coefficients of Friction,22
1435,Electrical Properties,22
6680,  ,22
1269,Compression Ratio,21
1294,Compressive Plastic Strain,21
1330,Overpotentials,21
5816,MA Loss,21
283,Wear-resistance,21
534,Adhesive Strength,21
1117,High-temperature Oxidation Stability,21
3023,Cost-effectiveness,21
3065,Point Defects,21
502,Decomposition,21
2184,Supersaturated solid solution,21
2183,Defect-free,21
1784,Surface morphology,21
4888,Volume Change,21
2329,Wear Volume,21
2098,Transformation,21
5421,Coercive Field,21
2059,Refrigeration capacity,21
3207,Superelastic,21
2018,Critical Shear Stress,21
5272,Coercive force,21
1951,Caloric Effects,21
724,Thermodynamics,21
3802,Magnetic phase transition,21
374,BCC Structure,21
2905,Cost,21
2929,High Temperature Stability,21
3468,Lamellar Widths,21
2378,Hysteresis Losses,20
2639,Microstrain,20
7052,Interfacial Reactions,20
3105,Yield Strengths,20
1837,Energy Absorption,20
5949,Thermoelectric Performance,20
1868,Plastic Deformation Resistance,20
1453,Abrasive Wear Resistance,20
6184,Solidification,20
1488,Cutting Force,20
1912,Transition temperature,20
220,Softening coefficient,20
3705,Volume Expansion,20
1930,Work-Hardening Capacity,20
301,Strain rate,20
272,Oxidation Kinetics,20
2654,Charge Transfer Resistance,20
1029,Temperature Stability,20
1249,Catalytic,20
6647,Hall Carrier Concentration,20
1087,Lattice Distortions,20
4731,Energy Storage,20
86,B2 phase,20
1616,Compressive tests,20
3908,Anti-corrosion Properties,20
882,Fracture energy,20
6248,Effective Mass,20
725,Martensitic Transition Temperature,20
5829,CO Stripping Peak,20
520,Phase transformation,20
1207,Microstructural evolution,20
128,Activation energy,20
284,Tensile Uniform Elongation,20
5857,Onset Potential,20
3143,Protective Scale,19
3210,High Specific Strength,19
2817,Superconducting,19
3066,Intrinsic Hardness,19
2976,Sigma phase,19
2844,Upper critical fields,19
1135,Macrohardness,19
1052,Hydrogen Desorption,19
1066,Surface area,19
2884,Electronic Conductivity,19
1039,Cracks,19
66,Electronic Thermal Conductivity,19
1986,Creep Behavior,19
7931,Rupture Strain,19
1647,Atomic radius,19
2161,Semiconductor properties,19
3991,Magnetic moment,19
4009,Hall coefficient,19
2162,Pitting,19
5617,Figure-of-Merit,19
483,Phase Instability,19
5928,Cycling Durability,19
2137,Oxidation Performance,19
1545,Passive Current Density,19
5790,Rockwell hardness,19
456,Elemental Composition,19
1615,Elastic Constant,19
7461,Attenuation constant,19
2409,Service Temperature,19
2678,High-Temperature Properties,19
5822,Multifunctionality,19
2763,High-rate Dischargeability,19
538,High-Temperature Oxidation Resistance,19
2111,Electrocatalytic Performance,19
2004,TRIP,19
1824,Fracture Behavior,19
1955,CTE,19
578,Low Density,19
1911,Magnetic transition temperature,19
1821,Elastic,19
2066,TWIP,18
1613,True Stress,18
5231,Micro-Hardness,18
1121,High-temperature Stability,18
5407,Critical Field,18
4730,Core loss,18
653,Eutectic,18
7934,Pasty Range,18
4757,Plastic Deformation Ability,18
1060,Anti-corrosion,18
3270,Ductile-to-Brittle Transition,18
1726,Single Phase,18
3352,Paramagnetism,18
1731,Liquidus,18
2085,Plateau Pressure,18
648,Fatigue Performance,18
2364,Porous Structure,18
3774,Incipient Plasticity,18
1614,True Strain,18
4171,Cycle Performance,18
2563,Compression testing,18
2698,Sensitivity,18
3967,Mass activity,18
1389,Flowability,18
838,Magnetic Anisotropy,18
6305,Electromagnetic Wave Absorption,18
918,Electrode Polarization,18
4170,Enthalpy of Hydride Formation,18
5937,Mesoporous,18
919,Redox Peak Potentials,18
3862,Total loss,18
4172,Hydrogen Pressure,18
7193,Thermoelectric Properties,18
3818,Threshold Displacement Energy,18
2430,Formation Energy,18
2921,Antibacterial activity,18
3731,Creep Deformation,18
921,Potential differences,18
2924,Yield Strain,18
4237,Critical Temperature,18
1566,Fatigue Limit,18
2096,Dendrite,17
3662,Radiation-Induced Segregation,17
5141,Compressive Fracture Strain,17
1991,Oxidation Wear,17
2105,Hysteresis Loss,17
1209,Work Hardening Capacity,17
2809,Local Corrosion Resistance,17
3804,Hydrogen solubility,17
3860,Hysteresis loss,17
1890,Surface Energies,17
1298,Creep resistance,17
2043,Electrochemical Stability,17
5342,Heat resistance,17
5049,Catalytic Activities,17
5831,Methanol Adsorption Energy,17
4038,Thermodynamic,17
1329,Charge Transfer,17
1186,Free Energy,17
2401,High Temperature Oxidation Resistance,17
2316,TEC,17
3419,Crack Sensitivity,17
3765,Curie Temperatures,17
1165,Purity,17
6672,EM Wave Absorption,17
2242,Coarsening Rate,17
6681,Impedance Matching,17
1678,Deformation Modes,17
3286,Recoverable Strain,17
1697,Oxide Layer,17
2199,Flexural strength,17
1729,Crystallization Growth Resistance,17
4162,Absorption Bandwidth,17
3036,Dendritic Structure,17
1730,Glass Transition,17
2339,Reversible Hydrogen Storage Capacity,17
1397,Exchange Bias,17
6857,Working Temperature Window,17
0,Enthalpy of mixing,17
645,Microstructure Evolution,17
535,Wear Mechanisms,17
7933,Mechanics,17
487,Portevin-Le Chatelier Effect,17
318,Impedance,17
757,Clustering,17
7700,Surface fracture energy,17
7932,Drop Resistance,17
8030,Optical band gap,17
7533,Wear Mass Loss,17
512,Twins,17
7197,n-type,17
7196,p-type,17
486,Transformation-Induced Plasticity,17
7701,Brittleness index,17
7699,Oxygen Barrier Property,17
929,Peak area,16
3342,Cutting Temperature,16
3328,Equilibrium pressure,16
3824,Element distribution,16
1180,Electromagnetic-wave Absorption,16
7930,IMCs,16
2481,Passivation Behavior,16
2023,Tribocorrosion Resistance,16
4729,Effective permeability,16
3343,Surface Quality,16
2464,Carrier mobility,16
884,Vacancy formation energy,16
1874,Wetting properties,16
68,Crystalline structure,16
2360,Exchange Bias Field,16
3296,EM absorption performance,16
1248,Electrical,16
3346,Chip Fracture,16
1319,Pugh Ratio,16
5482,Temperature Resistance,16
1610,Sound Velocities,16
595,Temperature Range,16
8350,Cold workability,16
590,Contact Angle,16
7728,Crack-Growth Rates,16
5590,Transition Temperatures,16
1572,Strain Softening,16
1372,Elastic moduli,16
1377,Temperature Dependence,16
2568,Damage,16
3405,Dehydrogenation Entropy,16
770,Specific Wear Rate,16
2561,Antibacterial properties,16
531,Strain-hardening,16
4728,DC bias performance,16
2077,Magnetic Transitions,16
194,Interfacial Energy,16
1798,Malleability,16
431,Grain Refinement Strengthening,16
